Graph Size,Execution Time (s),Iterations,Memory (bytes),Shortest Path,Path Length (m)
3,3.458,100,422.59765625,0 -> 1 -> 2 -> 0,1153.74
4,3.521,100,492.734375,0 -> 1 -> 2 -> 3 -> 0,1218.56
5,3.584,100,631.86328125,0 -> 1 -> 2 -> 3 -> 4 -> 0,1289.25
6,3.654,100,634.0078125,0 -> 5 -> 1 -> 2 -> 3 -> 4 -> 0,1466.98
7,3.757,100,775.26953125,0 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 0,1499.68
8,3.831,100,986.65625,0 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 0,1505.82
9,3.966,100,985.25,0 -> 8 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 0,1505.9
10,2.767,100,351.04296875,0 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 0,1521.58
11,2.858,100,351.7734375,0 -> 10 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 0,1523.57
12,2.884,100,350.80859375,0 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 0,1552.91
13,2.975,100,351.10546875,0 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 12 -> 0,1578.77
14,3.164,100,421.7109375,0 -> 13 -> 11 -> 10 -> 8 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 12 -> 0,1641.3
15,3.118,100,424.08984375,0 -> 13 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 12 -> 0,1986.19
16,3.195,100,420.515625,0 -> 15 -> 13 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 12 -> 0,2064.45
17,3.262,100,491.25,0 -> 13 -> 11 -> 12 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 16 -> 15 -> 0,2760.83
18,3.343,100,492.640625,0 -> 15 -> 13 -> 11 -> 12 -> 10 -> 8 -> 2 -> 3 -> 4 -> 9 -> 1 -> 6 -> 5 -> 7 -> 14 -> 16 -> 17 -> 0,2860.18
19,3.382,100,494.94140625,0 -> 15 -> 17 -> 16 -> 13 -> 11 -> 10 -> 12 -> 18 -> 14 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 0,2850.38
20,3.392,100,561.24609375,0 -> 17 -> 16 -> 19 -> 18 -> 10 -> 12 -> 14 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 11 -> 13 -> 15 -> 0,2906.49
21,3.529,100,561.45703125,0 -> 13 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 18 -> 12 -> 20 -> 19 -> 16 -> 17 -> 15 -> 0,2901.57
22,3.542,100,561.4140625,0 -> 21 -> 19 -> 20 -> 18 -> 12 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 11 -> 13 -> 15 -> 17 -> 16 -> 0,2932.79
23,3.72,100,632.35546875,0 -> 21 -> 19 -> 18 -> 20 -> 22 -> 16 -> 17 -> 15 -> 13 -> 11 -> 12 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 0,3094.09
24,3.72,100,634.00390625,0 -> 23 -> 17 -> 15 -> 13 -> 11 -> 10 -> 12 -> 18 -> 20 -> 14 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 7 -> 8 -> 19 -> 21 -> 22 -> 16 -> 0,3222.24
25,3.838,100,631.328125,0 -> 15 -> 13 -> 11 -> 10 -> 8 -> 4 -> 3 -> 2 -> 1 -> 9 -> 7 -> 5 -> 6 -> 14 -> 12 -> 18 -> 20 -> 19 -> 21 -> 22 -> 24 -> 23 -> 17 -> 16 -> 0,3240.26
26,3.881,100,702.0546875,0 -> 13 -> 11 -> 10 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 20 -> 18 -> 12 -> 19 -> 21 -> 23 -> 17 -> 24 -> 22 -> 16 -> 25 -> 15 -> 0,3144.74
27,4.023,100,706.17578125,0 -> 21 -> 19 -> 18 -> 12 -> 10 -> 11 -> 13 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 14 -> 20 -> 22 -> 24 -> 25 -> 26 -> 16 -> 23 -> 17 -> 15 -> 0,3147.01
28,4.192,100,774.984375,0 -> 23 -> 24 -> 22 -> 21 -> 19 -> 12 -> 18 -> 20 -> 14 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 10 -> 11 -> 13 -> 15 -> 17 -> 25 -> 26 -> 27 -> 16 -> 0,3091.47
