Graph Size,Execution Time (s),Iterations,Memory (bytes),Shortest Path,Path Length (m)
3,1.843,101,23366,0 -> 2 -> 1 -> 0,1153.74
4,1.823,101,24822,0 -> 3 -> 2 -> 1 -> 0,1218.56
5,1.875,101,26494,0 -> 1 -> 2 -> 3 -> 4 -> 0,1289.25
6,1.894,101,27726,0 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,1466.98
7,1.975,103,29678,0 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 0,1499.68
8,1.969,101,30966,0 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 0,1505.82
9,2.869,200,32454,0 -> 8 -> 4 -> 3 -> 2 -> 1 -> 6 -> 5 -> 7 -> 0,1525.04
10,2.094,107,34118,0 -> 8 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 0,1538.96
11,3.185,219,35486,0 -> 10 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 0,1523.57
12,2.673,161,36862,0 -> 8 -> 2 -> 3 -> 4 -> 6 -> 5 -> 1 -> 9 -> 7 -> 10 -> 11 -> 0,1642.86
13,2.316,109,38566,0 -> 12 -> 10 -> 7 -> 5 -> 6 -> 9 -> 1 -> 2 -> 3 -> 4 -> 8 -> 11 -> 0,1614.25
14,2.368,113,39510,0 -> 11 -> 12 -> 10 -> 8 -> 7 -> 6 -> 5 -> 9 -> 1 -> 2 -> 3 -> 4 -> 13 -> 0,1730.98
15,4.767,326,41622,0 -> 10 -> 8 -> 7 -> 1 -> 4 -> 3 -> 2 -> 9 -> 6 -> 5 -> 14 -> 12 -> 11 -> 13 -> 0,2210.09
16,3.436,203,42830,0 -> 13 -> 11 -> 10 -> 12 -> 14 -> 5 -> 7 -> 9 -> 6 -> 2 -> 1 -> 3 -> 4 -> 8 -> 15 -> 0,2435.75
17,2.42,116,44734,0 -> 16 -> 15 -> 11 -> 13 -> 10 -> 8 -> 7 -> 1 -> 2 -> 9 -> 3 -> 4 -> 6 -> 5 -> 14 -> 12 -> 0,3011.11
18,4.258,268,46206,0 -> 12 -> 14 -> 6 -> 3 -> 4 -> 2 -> 1 -> 9 -> 7 -> 5 -> 8 -> 10 -> 11 -> 13 -> 15 -> 17 -> 16 -> 0,2960.41
19,3.025,160,47942,0 -> 16 -> 17 -> 15 -> 13 -> 11 -> 12 -> 10 -> 4 -> 3 -> 6 -> 5 -> 7 -> 1 -> 2 -> 9 -> 8 -> 14 -> 18 -> 0,3247.71
20,2.827,139,49422,0 -> 16 -> 17 -> 15 -> 13 -> 11 -> 10 -> 8 -> 9 -> 1 -> 4 -> 3 -> 2 -> 5 -> 6 -> 7 -> 14 -> 18 -> 12 -> 19 -> 0,2858.65
21,2.984,146,49814,0 -> 11 -> 10 -> 8 -> 1 -> 2 -> 3 -> 4 -> 9 -> 6 -> 5 -> 7 -> 14 -> 20 -> 18 -> 12 -> 19 -> 16 -> 17 -> 15 -> 13 -> 0,2985.49
24,3.177,151,52206,0 -> 23 -> 16 -> 17 -> 15 -> 13 -> 10 -> 11 -> 8 -> 6 -> 1 -> 5 -> 9 -> 2 -> 3 -> 4 -> 7 -> 14 -> 20 -> 18 -> 12 -> 19 -> 22 -> 21 -> 0,3466.02
